gate_id,target_ref,metric_code,metric_name,level,l1_domain,l2_group,formula,grain,direction,current_owner,current_status,priority,current_notes,required_decision,reviewer_owner,signoff_date,definition_version,denominator_rule,grain_confirmation,exception_rule,evidence_link,decision_result,reviewer_notes
signoff_19,SCM-MECE-L3-056,inventory_count_accuracy_rate,盘点准确率,L3,仓储执行与库存准确,库存准确与追溯,准确盘点库存 / 盘点总库存,warehouse + sku + count_task,higher_better,待确认,未发起,P0,确认盘点差异分母与账实一致口径,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,,,,,,,,,
signoff_2,SCM-MECE-L3-007,recommended_purchase_qty,推荐采购量,L3,需求计划与补货决策,补货动作决策,目标库存量 - 可用库存 - 可调拨库存 - 已下单量 - 计划入库 - 待出运 - 在途库存,sku/msku + destination_warehouse + plan_version,action_metric,待确认,未发起,P0,确认建议采购数量是否扣减在途、未交PO和安全库存,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,,,,,,,,,
signoff_20,SCM-MECE-L3-126,transfer_success_rate,调拨成功率,L3,物流运输与履约体验,头程与调拨运输,按计划完成调入的调拨单数 / 应完成调拨单数,source_warehouse + target_warehouse + sku + period,higher_better,待确认,未发起,P0,确认调拨成功判断、完成窗口和取消单排除规则,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,,,,,,,,,
signoff_21,SCM-MECE-L3-127,transfer_cycle_days,调拨周期天数,L3,物流运输与履约体验,头程与调拨运输,调入完成日期 - 调拨创建日期,transfer_order_no + sku,lower_better,待确认,未发起,P0,确认调拨创建、发出、到达、上架节点,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,,,,,,,,,
signoff_22,SCM-MECE-L3-128,transfer_quantity_fulfillment_rate,调拨数量达成率,L3,物流运输与履约体验,头程与调拨运输,已调入数量 / 确认调拨数量,transfer_order_no + sku,higher_better,待确认,未发起,P0,确认确认调拨量与实收量差异处理,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,,,,,,,,,
signoff_23,SCM-MECE-L3-066,last_mile_delivery_rate,妥投率,L3,物流运输与履约体验,尾程与客户履约,妥投订单数 / 应配送订单数,carrier + country + channel + period,higher_better,待确认,未发起,P0,确认尾程妥投口径与平台回传时间,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,,,,,,,,,
signoff_24,SCM-MECE-L3-077,supply_chain_total_cost_rate,供应链总成本率,L3,成本财务与资金效率,总成本与节点成本,(采购成本 + 头程成本 + 仓储成本 + 尾程成本 + 退换补发成本 + 直邮成本) / 销售额,period + channel + country + category + sku,lower_better,待确认,未发起,P0,确认成本归集范围和销售额分母,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认多币种成本归集、尾程/仓储/头程范围和销售额或毛利分母,,,,,,,,,
signoff_25,SCM-MECE-L3-131,logistics_cost_rate,物流成本率,L3,成本财务与资金效率,总成本与节点成本,(头程成本 + 仓储成本 + 尾程成本) / 销售额,period + channel + country + category,lower_better,待确认,未发起,P0,确认头程、仓储、尾程是否全部纳入,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认多币种成本归集、尾程/仓储/头程范围和销售额或毛利分母,,,,,,,,,
signoff_26,SCM-MECE-L3-036,full_chain_turnover_days_amount,全链条库存资金周转天数,L3,成本财务与资金效率,库存资金效率,(在库库存金额 + 在途库存金额 + 未交 PO 金额) / 日均销售成本,channel + country + category + sku + period,lower_better,待确认,未发起,P0,确认金额口径、日均COGS和在途/未交PO纳入规则,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认多币种成本归集、尾程/仓储/头程范围和销售额或毛利分母,,,,,,,,,
signoff_27,SCM-MECE-L3-087,inventory_impairment_rate,库存减值率,L3,成本财务与资金效率,库存资金效率,库存减值金额 / 库存金额,period + warehouse_type + category,lower_better,待确认,未发起,P0,确认减值口径与账龄分层,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认多币种成本归集、尾程/仓储/头程范围和销售额或毛利分母,,,,,,,,,
signoff_28,SCM-MECE-L3-137,unmatched_planned_inventory_qty,未匹配计划库存数量,L3,主数据指标治理与数据质量,SKU 映射质量,因缺少 GTIN/MSKU/销售映射无法匹配的计划库存数量,source_sku_key_type + platform + period,lower_better,待确认,未发起,P0,确认GTIN/MSKU/SKU映射失败规则,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认 SKU/MSKU/FNSKU/GTIN 映射、源系统同步时间和默认值处理规则,,,,,,,,,
signoff_29,SCM-MECE-L3-138,inventory_sync_delay_minutes,库存同步延迟分钟数,L3,主数据指标治理与数据质量,快照同步与数据质量,当前时间 - 来源库存同步时间,source_system + platform + warehouse + period,lower_better,待确认,未发起,P0,确认来源系统同步时间与任务时间,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认 SKU/MSKU/FNSKU/GTIN 映射、源系统同步时间和默认值处理规则,,,,,,,,,
signoff_3,SCM-MECE-L3-112,plan_attainment_rate,计划达成率,L3,需求计划与补货决策,补货动作决策,实际完成计划数量 / 已确认计划数量,plan_id + sku + warehouse + period,higher_better,待确认,未发起,P0,确认计划达成的计划类型与完成口径,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,,,,,,,,,
signoff_30,SCM-MECE-L3-139,business_default_zero_rate,业务默认 0 字段占比,L3,主数据指标治理与数据质量,快照同步与数据质量,按规则默认 0 的库存字段数 / 参与计算库存字段数,platform + rule_version + period,observe,待确认,未发起,P0,确认默认0字段是否作为质量问题或业务规则,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认 SKU/MSKU/FNSKU/GTIN 映射、源系统同步时间和默认值处理规则,,,,,,,,,
signoff_4,SCM-MECE-L3-016,purchase_delivery_rate,采购交付率,L3,采购与供应商履约,采购执行,实交量 / 采购量,po_no + sku + supplier + period,higher_better,待确认,未发起,P0,确认供应商交付完成口径与迟到容忍窗口,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,,,,,,,,,
signoff_5,SCM-MECE-L3-019,supplier_otif_rate,供应商 OTIF,L3,采购与供应商履约,供应商履约与质量,按时且足量交付 PO 行数 / 应交付 PO 行数,supplier + sku + period,higher_better,待确认,未发起,P0,确认供应商OTIF的准时与足量定义,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,,,,,,,,,
signoff_6,SCM-MECE-L3-119,supplier_top3_purchase_concentration,TOP3 供应商采购集中度,L3,采购与供应商履约,供应商风险与 TCO,TOP3 供应商采购金额 / 总采购金额,category + period,governed_range,待确认,未发起,P0,确认采购金额口径与供应商聚合口径,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,,,,,,,,,
signoff_7,SCM-MECE-L3-121,purchase_order_cycle_days,采购订单周期天数,L3,采购与供应商履约,采购执行,入库完成日期 - PO 创建日期,po_no + sku + supplier,lower_better,待确认,未发起,P0,确认PO创建、交付、入库完成时间点,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,,,,,,,,,
signoff_8,SCM-MECE-L3-027,business_available_qty,业务可用库存,L3,库存可售性与资产健康,原生库存与业务库存状态,按平台规则取源字段或派生的可售/可用数量,snapshot_time + platform + business_key + warehouse_or_country,higher_better,待确认,未发起,P0,确认可用库存是否扣减预占、冻结、残次与不可售,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,,,,,,,,,
signoff_9,SCM-MECE-L3-032,stocking_planned_inventory_qty,备货计划库存,L3,库存可售性与资产健康,覆盖与补货库存组件,按平台规则统计未来进入目标渠道或仓库的计划性库存,plan_source_type + platform + business_key + warehouse_or_country,observe,待确认,未发起,P0,确认备货计划库存的来源规则与默认0处理,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,,,,,,,,,
