gate_id,gate_type,target_ref,metric_code,metric_name,owner,current_status,priority,unblock_condition,evidence_required,boundary,packet_file
signoff_19,owner_signoff,SCM-MECE-L3-056,inventory_count_accuracy_rate,盘点准确率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_2,owner_signoff,SCM-MECE-L3-007,recommended_purchase_qty,推荐采购量,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_20,owner_signoff,SCM-MECE-L3-126,transfer_success_rate,调拨成功率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_21,owner_signoff,SCM-MECE-L3-127,transfer_cycle_days,调拨周期天数,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_22,owner_signoff,SCM-MECE-L3-128,transfer_quantity_fulfillment_rate,调拨数量达成率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_23,owner_signoff,SCM-MECE-L3-066,last_mile_delivery_rate,妥投率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_24,owner_signoff,SCM-MECE-L3-077,supply_chain_total_cost_rate,供应链总成本率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认多币种成本归集、尾程/仓储/头程范围和销售额或毛利分母,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_25,owner_signoff,SCM-MECE-L3-131,logistics_cost_rate,物流成本率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认多币种成本归集、尾程/仓储/头程范围和销售额或毛利分母,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_26,owner_signoff,SCM-MECE-L3-036,full_chain_turnover_days_amount,全链条库存资金周转天数,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认多币种成本归集、尾程/仓储/头程范围和销售额或毛利分母,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_27,owner_signoff,SCM-MECE-L3-087,inventory_impairment_rate,库存减值率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认多币种成本归集、尾程/仓储/头程范围和销售额或毛利分母,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_28,owner_signoff,SCM-MECE-L3-137,unmatched_planned_inventory_qty,未匹配计划库存数量,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认 SKU/MSKU/FNSKU/GTIN 映射、源系统同步时间和默认值处理规则,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_29,owner_signoff,SCM-MECE-L3-138,inventory_sync_delay_minutes,库存同步延迟分钟数,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认 SKU/MSKU/FNSKU/GTIN 映射、源系统同步时间和默认值处理规则,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_3,owner_signoff,SCM-MECE-L3-112,plan_attainment_rate,计划达成率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_30,owner_signoff,SCM-MECE-L3-139,business_default_zero_rate,业务默认 0 字段占比,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认 SKU/MSKU/FNSKU/GTIN 映射、源系统同步时间和默认值处理规则,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_4,owner_signoff,SCM-MECE-L3-016,purchase_delivery_rate,采购交付率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_5,owner_signoff,SCM-MECE-L3-019,supplier_otif_rate,供应商 OTIF,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_6,owner_signoff,SCM-MECE-L3-119,supplier_top3_purchase_concentration,TOP3 供应商采购集中度,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_7,owner_signoff,SCM-MECE-L3-121,purchase_order_cycle_days,采购订单周期天数,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_8,owner_signoff,SCM-MECE-L3-027,business_available_qty,业务可用库存,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_9,owner_signoff,SCM-MECE-L3-032,stocking_planned_inventory_qty,备货计划库存,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
mapping_32,field_mapping,SCM-MECE-L3-123,pallet_fill_rate,托盘填充率,仓储运营 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_33,field_mapping,SCM-MECE-L3-124,picking_uph,拣货效率 UPH,仓储运营 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_34,field_mapping,SCM-MECE-L3-122,storage_capacity_utilization_rate,库容利用率,仓储运营 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_43,field_mapping,SCM-MECE-L3-115,gmv_oos_rate,金额缺货率,库存运营 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_45,field_mapping,SCM-MECE-L3-117,safety_stock_coverage_rate,安全库存覆盖率,库存运营 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_46,field_mapping,SCM-MECE-L3-113,sku_oos_rate,SKU 缺货率,库存运营 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_47,field_mapping,SCM-MECE-L3-116,stockout_loss_amount,断货损失金额,库存运营 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_48,field_mapping,SCM-MECE-L3-114,unit_oos_rate,件数缺货率,库存运营 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_52,field_mapping,SCM-MECE-L3-118,inventory_sales_match_score,库存-销售匹配度,库存运营 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_10,field_mapping,SCM-MECE-L3-139,business_default_zero_rate,业务默认 0 字段占比,数据治理 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,主数据、库存同步日志或映射表字段；需提供 source_system/platform/rule_version/period 粒度,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_12,field_mapping,SCM-MECE-L3-138,inventory_sync_delay_minutes,库存同步延迟分钟数,数据治理 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,主数据、库存同步日志或映射表字段；需提供 source_system/platform/rule_version/period 粒度,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_4,field_mapping,SCM-MECE-L3-137,unmatched_planned_inventory_qty,未匹配计划库存数量,数据治理 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,主数据、库存同步日志或映射表字段；需提供 source_system/platform/rule_version/period 粒度,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_61,field_mapping,SCM-MECE-L3-036,full_chain_turnover_days_amount,全链条库存资金周转天数,财务/成本 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,Finance/ERP 成本事件、仓储费、尾程费、头程费或库存减值字段；需提供币种、汇率和期间粒度,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_62,field_mapping,SCM-MECE-L3-133,inventory_amount_to_sales_ratio,库存金额销售占比,财务/成本 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,Finance/ERP 成本事件、仓储费、尾程费、头程费或库存减值字段；需提供币种、汇率和期间粒度,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_63,field_mapping,SCM-MECE-L3-087,inventory_impairment_rate,库存减值率,财务/成本 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,Finance/ERP 成本事件、仓储费、尾程费、头程费或库存减值字段；需提供币种、汇率和期间粒度,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_68,field_mapping,SCM-MECE-L3-131,logistics_cost_rate,物流成本率,财务/成本 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,Finance/ERP 成本事件、仓储费、尾程费、头程费或库存减值字段；需提供币种、汇率和期间粒度,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_72,field_mapping,SCM-MECE-L3-077,supply_chain_total_cost_rate,供应链总成本率,财务/成本 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,Finance/ERP 成本事件、仓储费、尾程费、头程费或库存减值字段；需提供币种、汇率和期间粒度,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
mapping_74,field_mapping,SCM-MECE-L3-088,cost_allocation_coverage_rate,成本分摊覆盖率,财务/成本 Owner,待确认,P0,提供真实 source system/table/field/join key/grain/update frequency/evidence link,Finance/ERP 成本事件、仓储费、尾程费、头程费或库存减值字段；需提供币种、汇率和期间粒度,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-field-mapping-intake-20260701.csv
aip_20260627_d_p1_05_scei_weight_source_required,owner_decision,SCM-MECE-L0-001,supply_chain_effectiveness_index,T4/D-P1-05：补 SCEI→五维 L0 权重依据并做 MECE 残差校验,供应链数据治理 Owner,owner_decision_packet_ready,P0,Owner 给出五个 SCEI L0 child weights，合计 1.0，并提供依据与签署,B2 decision package ready: annotation_b2_scei_weight_decision_packet_20260627 + decision_b2_scei_weight_source_packet_20260627。已找到旧两轴 cost 50% + fulfillment 50% 证据，但五维 SCEI 顶层权重仍需 owner 给出五个合计 1.0 的数值和依据；kpi_tree.weight 暂不回填。,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-scei-weight-intake-20260701.csv
