field_id,sample_domain,source_system,source_surface,target_object_type,target_property,data_type_hint,sensitivity_level,grain,refresh_cycle,evidence_level,owner_gate,transform_rule,dq_group,loop3_refs,import_gate
OMSWMS-FD-0014,inventory_risk_sample,OMS,库存动态,InventoryTransaction,warehouse_id,identifier,operational_internal,operation_no + sku + warehouse,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0015,inventory_risk_sample,OMS,库存动态,InventoryTransaction,quality_status,enum_or_string,operational_internal,operation_no + sku + warehouse,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,enum_keep_with_allowed_value_checks,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0016,inventory_risk_sample,OMS,库存动态,InventoryTransaction,delta_qty,number,operational_internal,operation_no + sku + warehouse,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0017,inventory_risk_sample,OMS,库存动态,InventoryTransaction,operation_time,datetime,operational_internal,operation_no + sku + warehouse,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,datetime_keep_truncated_to_allowed_grain,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0018,inventory_risk_sample,OMS,商品销量统计,SKU,warehouse_id,identifier,operational_internal,sku + platform + warehouse + period,periodic,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0019,inventory_risk_sample,OMS,商品销量统计,SKU,platform,string,operational_internal,sku + platform + warehouse + period,periodic,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,enum_keep_with_allowed_value_checks,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0020,inventory_risk_sample,OMS,商品销量统计,SKU,sku_code,identifier,operational_internal,sku + platform + warehouse + period,periodic,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0021,inventory_risk_sample,OMS,商品销量统计,SKU,monthly_sales_qty,number,operational_internal,sku + platform + warehouse + period,periodic,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0022,inventory_risk_sample,OMS,商品销量统计,SKU,turnover_rate,number,operational_internal,sku + platform + warehouse + period,periodic,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0023,inventory_risk_sample,OMS,商品销量统计,SKU,estimated_sellable_days,number,operational_internal,sku + platform + warehouse + period,periodic,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,keep_if_allowlist_field_id_matches_and_owner_approved,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0031,cost_risk_sample,OMS,费用统计,CostEvent,cost_type,number,financial_internal,cost_type + period + currency,periodic,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,enum_keep_with_allowed_value_checks,dq_cost_event_currency_amount_mapping,scenario_loop3_finance_cost_tail_warehouse_return_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0032,cost_risk_sample,OMS,费用统计,CostEvent,cost_amount,number,financial_internal,cost_type + period + currency,periodic,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_cost_event_currency_amount_mapping,scenario_loop3_finance_cost_tail_warehouse_return_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0033,cost_risk_sample,OMS,费用统计,CostEvent,currency,string,financial_internal,cost_type + period + currency,periodic,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,enum_keep_with_allowed_value_checks,dq_cost_event_currency_amount_mapping,scenario_loop3_finance_cost_tail_warehouse_return_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0034,inventory_risk_sample,WMS,产品档案,SKU,owner,string,business_internal,owner + product_code,owner_pending,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,keep_if_allowlist_field_id_matches_and_owner_approved,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0035,inventory_risk_sample,WMS,产品档案,SKU,product_code,identifier,business_internal,owner + product_code,owner_pending,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0036,inventory_risk_sample,WMS,产品档案,SKU,product_description,string,business_internal,owner + product_code,owner_pending,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0037,inventory_risk_sample,WMS,产品档案,SKU,alias,string,business_internal,owner + product_code,owner_pending,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,keep_if_allowlist_field_id_matches_and_owner_approved,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0038,inventory_risk_sample,WMS,产品档案,SKU,cargo_type,enum_or_string,business_internal,owner + product_code,owner_pending,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,enum_keep_with_allowed_value_checks,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0039,inventory_risk_sample,WMS,产品档案,SKU,product_group,string,business_internal,owner + product_code,owner_pending,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0040,inventory_risk_sample,WMS,产品档案,SKU,carton_volume,number,business_internal,owner + product_code,owner_pending,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0041,inventory_risk_sample,WMS,产品档案,SKU,gross_weight,number,business_internal,owner + product_code,owner_pending,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_sku_master_mapping,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0042,inventory_risk_sample,WMS,库存快照数据导出,InventoryBatch,supply_chain_sku,identifier,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0043,inventory_risk_sample,WMS,库存快照数据导出,InventoryBatch,product_description,string,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0044,inventory_risk_sample,WMS,库存快照数据导出,InventoryBatch,warehouse_name,identifier,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0045,inventory_risk_sample,WMS,库存快照数据导出,InventoryBatch,warehouse_type,enum_or_string,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,enum_keep_with_allowed_value_checks,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0046,inventory_risk_sample,WMS,库存快照数据导出,InventoryBatch,inventory_qty,number,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0047,inventory_risk_sample,WMS,库存快照数据导出,InventoryBatch,good_qty,number,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0048,inventory_risk_sample,WMS,库存快照数据导出,InventoryBatch,defect_qty,number,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0049,inventory_risk_sample,WMS,库存快照数据导出,InventoryBatch,locked_qty,number,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,keep_if_allowlist_field_id_matches_and_owner_approved,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0050,inventory_risk_sample,WMS,库存快照数据导出,InventoryBatch,snapshot_time,datetime,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,datetime_keep_truncated_to_allowed_grain,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0059,fulfillment_risk_sample,WMS,上架任务管理,WarehouseTask,task_no,identifier,operational_internal,task_no + sku + location,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0060,fulfillment_risk_sample,WMS,上架任务管理,WarehouseTask,task_status,enum_or_string,operational_internal,task_no + sku + location,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,enum_keep_with_allowed_value_checks,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0061,fulfillment_risk_sample,WMS,上架任务管理,WarehouseTask,document_no,identifier,operational_internal,task_no + sku + location,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0062,fulfillment_risk_sample,WMS,上架任务管理,WarehouseTask,product_code,identifier,operational_internal,task_no + sku + location,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0063,fulfillment_risk_sample,WMS,上架任务管理,WarehouseTask,warehouse_code,identifier,operational_internal,task_no + sku + location,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0064,fulfillment_risk_sample,WMS,上架任务管理,WarehouseTask,from_location,identifier,operational_internal,task_no + sku + location,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0065,fulfillment_risk_sample,WMS,上架任务管理,WarehouseTask,actual_putaway_location,identifier,operational_internal,task_no + sku + location,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0066,fulfillment_risk_sample,WMS,上架任务管理,WarehouseTask,qty,number,operational_internal,task_no + sku + location,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0067,fulfillment_risk_sample,WMS,上架任务管理,WarehouseTask,release_close_time,datetime,operational_internal,task_no + sku + location,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,datetime_keep_truncated_to_allowed_grain,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0068,fulfillment_risk_sample,WMS,拣货任务管理,WarehouseTask,task_no,identifier,operational_internal,task_no + wave_no + order_no + sku,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0069,fulfillment_risk_sample,WMS,拣货任务管理,WarehouseTask,task_group_no,identifier,operational_internal,task_no + wave_no + order_no + sku,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0070,fulfillment_risk_sample,WMS,拣货任务管理,WarehouseTask,wave_no,identifier,operational_internal,task_no + wave_no + order_no + sku,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0071,fulfillment_risk_sample,WMS,拣货任务管理,WarehouseTask,document_no,identifier,operational_internal,task_no + wave_no + order_no + sku,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0072,fulfillment_risk_sample,WMS,拣货任务管理,WarehouseTask,task_status,enum_or_string,operational_internal,task_no + wave_no + order_no + sku,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,enum_keep_with_allowed_value_checks,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0073,fulfillment_risk_sample,WMS,拣货任务管理,WarehouseTask,product_code,identifier,operational_internal,task_no + wave_no + order_no + sku,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0074,fulfillment_risk_sample,WMS,拣货任务管理,WarehouseTask,from_location,identifier,operational_internal,task_no + wave_no + order_no + sku,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0075,fulfillment_risk_sample,WMS,拣货任务管理,WarehouseTask,to_location,identifier,operational_internal,task_no + wave_no + order_no + sku,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0076,fulfillment_risk_sample,WMS,拣货任务管理,WarehouseTask,qty,number,operational_internal,task_no + wave_no + order_no + sku,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0077,fulfillment_risk_sample,WMS,拣货任务管理,WarehouseTask,priority,enum_or_string,operational_internal,task_no + wave_no + order_no + sku,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,enum_keep_with_allowed_value_checks,dq_fulfillment_task_time_status_grain,scenario_loop3_fulfillment_eta_delivery_exception_20260701,design_review_only_businessRowsImported_false
