field_id,source_system,source_surface,target_object_type,target_property,sensitivity_level,grain,evidence_level,exclusion_policy,allowed_substitute,reason
OMSWMS-FD-0078,WMS,入库/出库序列号查询,SerialNumber,serial_no,sensitive_operational_identifier,serial_no + product_code + warehouse,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0079,WMS,入库/出库序列号查询,SerialNumber,carton_code,sensitive_operational_identifier,serial_no + product_code + warehouse,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0080,WMS,入库/出库序列号查询,SerialNumber,owner,sensitive_operational_identifier,serial_no + product_code + warehouse,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0081,WMS,入库/出库序列号查询,SerialNumber,product_code,sensitive_operational_identifier,serial_no + product_code + warehouse,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0082,WMS,入库/出库序列号查询,SerialNumber,batch_no,sensitive_operational_identifier,serial_no + product_code + warehouse,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0083,WMS,入库/出库序列号查询,SerialNumber,asn_no,sensitive_operational_identifier,serial_no + product_code + warehouse,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0084,WMS,入库/出库序列号查询,SerialNumber,sales_order_no,sensitive_operational_identifier,serial_no + product_code + warehouse,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0085,WMS,入库/出库序列号查询,SerialNumber,in_stock_flag,sensitive_operational_identifier,serial_no + product_code + warehouse,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0086,WMS,入库/出库序列号查询,SerialNumber,tracking_no,sensitive_operational_identifier,serial_no + product_code + warehouse,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0087,WMS,入库/出库序列号查询,SerialNumber,location_code,sensitive_operational_identifier,serial_no + product_code + warehouse,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0088,WMS,入库/出库序列号查询,SerialNumber,warehouse_code,sensitive_operational_identifier,serial_no + product_code + warehouse,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
