"path","bucket","chunk","includeMode","action","sizeBytes","sha256","reason"
"scm/tmp/outputs/loop4-readonly-sample-design-20260701/loop4-excluded-sensitive-fields-20260701.csv","release_evidence","C","core","stage_core","8407","4ecd845edc0ddccb894278feee97dca071398e834667e9dfb12b67e7cc3baaec","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop4-readonly-sample-design-20260701/loop4-field-policy-20260701.csv","release_evidence","C","core","stage_core","24865","0b562091713ce1d73b72c83d4f69e5f1a5c82008045a2284542d7383f5287d5e","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop4-readonly-sample-design-20260701/loop4-fulfillment-task-template-20260701.csv","release_evidence","C","core","stage_core","181","3f7df65808d56ef1e70b0169dff663f8f75df1fdacbfa160d4617906e27a2b7f","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop4-readonly-sample-design-20260701/loop4-inventory-snapshot-template-20260701.csv","release_evidence","C","core","stage_core","213","5a510ba7e5f90850366e9856e1bd15de29f3002194b0dbe91025c4cf30c0bfa9","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop4-readonly-sample-design-20260701/loop4-runtime-import-gate-checklist-20260701.csv","release_evidence","C","core","stage_core","1661","c13c10fbb834fb4d2d7dd3f4e530c6c198f34f4103103b473321576dbfc3dc7d","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop5-release-boundary-20260701/.status-probe","release_evidence","C","core","stage_core","19","70882e3f25bb5485fed26b831b31d58bd91fce28d5cba038f1d9178a3e4a1dda","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop5-release-boundary-20260701/loop5-approval-options-20260701.csv","release_evidence","C","core","stage_core","519","09042d676ab915adab13b971b54d3e696c4bab99ba9bc7e9b7ffe4c97f1c17ad","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop5-release-boundary-20260701/loop5-atomic-staging-plan-20260701.csv","release_evidence","C","core","stage_core","1746","78c78d8bd291c9d5210bc3bcec02be9cea8d297acd6f085eb5f79949fa8eb4f2","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop5-release-boundary-20260701/loop5-core-allowlist-paths-20260701.txt","release_evidence","C","core","stage_core","1111","c4aa1b08bc944f011ff3cf6bdee343483214d571916d2e88b39b2c701f669f2a","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop5-release-boundary-20260701/loop5-dirty-worktree-classification-20260701.csv","release_evidence","C","core","stage_core","7225","2e40a268e82c0c599ff3e0cccdca344ba528ee9c14cb08e85210832bb8d9e0c2","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop5-release-boundary-20260701/loop5-evidence-summary-20260701.json","release_evidence","C","core","stage_core","1272","786fa369df3addd7b9e964818148ae80debeee02877ee54a8cde65693c0ddb20","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop5-release-boundary-20260701/loop5-optional-support-paths-20260701.txt","release_evidence","C","core","stage_core","145","b6743e796c83be95c860d88a56beb4d2e2099a0b1692d413bcc97dcc0198d5c4","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop5-release-boundary-20260701/loop5-release-file-set-manifest-20260701.csv","release_evidence","C","core","stage_core","7550","f72bb9f79eb6c10bb7ff130e571c462b20b40e7d24db415d8bb1849d6680f28f","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop5-release-boundary-20260701/loop5-temp-index-preview-20260701.json","release_evidence","C","core","stage_core","3931","5be68259d974f832f0023786ffcfda8bad885b63ca978370a6713ffb5275f7fd","Loop machine-readable evidence packet"
